Round,Num.,Drafted By,Player,Pos,Drafted From,GP,G,A,Pts,PIM,Last Season
2.0,51.0,Los Angeles,Kale Clague,D,Brandon Wheat Kings [WHL],91.0,2.0,18.0,20.0,50.0,2022-23
2.0,52.0,Philadelphia,Wade Allison,R,Tri-City Storm [USHL],75.0,13.0,9.0,22.0,40.0,2022-23
2.0,53.0,Detroit,Filip Hronek,D,Hradec Kralove [Czech],310.0,30.0,129.0,159.0,162.0,2023-24
2.0,54.0,Calgary,Tyler Parsons,G,London Knights [OHL],,,,,,
2.0,55.0,Pittsburgh,Filip Gustavsson,G,Lulea HF [SweHL],67.0,0.0,1.0,1.0,0.0,2023-24
2.0,56.0,Calgary,Dillon Dube,C,Kelowna Rockets [WHL],283.0,54.0,66.0,120.0,99.0,2023-24
2.0,57.0,Toronto,Carl Grundstrom,R,MODO Hockey Ornskoldsvik [SweHL],187.0,33.0,23.0,56.0,74.0,2023-24
2.0,58.0,Tampa Bay,Taylor Raddysh,R,Erie Otters [OHL],154.0,31.0,28.0,59.0,26.0,2023-24
2.0,59.0,St. Louis,Evan Fitzpatrick,G,Sherbrooke Phoenix [QMJHL],,,,,,
2.0,60.0,San Jose,Dylan Gambrell,C,U. of Denver [NCHC],233.0,17.0,23.0,40.0,79.0,2022-23
2.0,61.0,Pittsburgh,Kasper Bjorkqvist,R,Blues Jrs (Finland),6.0,1.0,0.0,1.0,2.0,2021-22
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3.0,62.0,Toronto,Joseph Woll,G,U.S. National Development Team [USHL],11.0,0.0,0.0,0.0,2.0,2022-23
3.0,63.0,Edmonton,Markus Niemelainen,D,Saginaw Spirit [OHL],43.0,0.0,1.0,1.0,8.0,2022-23
3.0,64.0,Vancouver,William Lockwood,R,U.S. National Development Team [USHL],28.0,0.0,1.0,1.0,11.0,2022-23
3.0,65.0,Columbus,Vitaly Abramov,L,Gatineau Olympiques [QMJHL],5.0,1.0,0.0,1.0,2.0,2020-21
3.0,66.0,Calgary,Adam Fox,D,U.S. National Development Team [USHL],286.0,36.0,200.0,236.0,106.0,2023-24
3.0,67.0,Carolina,Matt Filipe,L,Cedar Rapids RoughRiders [USHL],,,,,,
3.0,68.0,Arizona,Cam Dineen,D,North Bay Battalion [OHL],34.0,0.0,7.0,7.0,4.0,2021-22
3.0,69.0,Buffalo,Cliff Pu,R,London Knights [OHL],,,,,,
3.0,70.0,Montreal,Will Bitten,C,Flint Firebirds [OHL],4.0,0.0,1.0,1.0,0.0,2022-23
3.0,71.0,Colorado,Josh Anderson,D,Prince George Cougars [WHL],,,,,,
3.0,72.0,Toronto,J.D. Greenway,D,U.S. National Development Team [USHL],,,,,,
3.0,73.0,New Jersey,Joey Anderson,R,U.S. National Development Team [USHL],96.0,14.0,8.0,22.0,10.0,2022-23
3.0,74.0,Carolina,Hudson Elynuik,C,Spokane Chiefs [WHL],,,,,,
3.0,75.0,Carolina,Jack LaFontaine,G,Janesville Jets [NAHL],2.0,0.0,0.0,0.0,0.0,2021-22
3.0,76.0,Nashville,Rem Pitlick,C,Muskegon Lumberjacks [USHL],123.0,21.0,33.0,54.0,52.0,2022-23
3.0,77.0,Pittsburgh,Connor Hall,D,Kitchener Rangers [OHL],,,,,,
3.0,78.0,Nashville,Frederic Allard,D,Chicoutimi Sagueneens [QMJHL],4.0,0.0,0.0,0.0,0.0,2022-23
3.0,79.0,Winnipeg,Luke Green,D,Saint John Sea Dogs [QMJHL],,,,,,
3.0,80.0,New Jersey,Brandon Gignac,C,Shawinigan Cataractes [QMJHL],1.0,0.0,0.0,0.0,0.0,2018-19
3.0,81.0,NY Rangers,Sean Day,D,Mississauga Steelheads [OHL],2.0,0.0,0.0,0.0,0.0,2021-22
3.0,82.0,Philadelphia,Carsen Twarynski,L,Calgary Hitmen [WHL],22.0,1.0,0.0,1.0,6.0,2020-21
3.0,83.0,Chicago,Wouter Peeters,G,Salzburg Jrs (Austria),,,,,,
3.0,84.0,Edmonton,Matthew Cairns,D,Georgetown Raiders [OJHL],,,,,,
3.0,85.0,Anaheim,Josh Mahura,D,Red Deer Rebels [WHL],162.0,10.0,26.0,36.0,72.0,2023-24
3.0,86.0,Buffalo,Casey Fitzgerald,D,Boston College [H-East],63.0,0.0,9.0,9.0,40.0,2022-23
3.0,87.0,Washington,Garrett Pilon,C,Kamloops Blazers [WHL],3.0,1.0,0.0,1.0,0.0,2021-22
3.0,88.0,Tampa Bay,Connor Ingram,G,Kamloops Blazers [WHL],30.0,0.0,0.0,0.0,2.0,2022-23
3.0,89.0,Florida,Linus Nassen,D,Lulea HF [SweHL],,,,,,
3.0,90.0,Dallas,Fredrik Karlstrom,C,AIK Jrs (Sweden),8.0,0.0,1.0,1.0,0.0,2022-23
3.0,91.0,Edmonton,Filip Berglund,D,Skelleftea Jrs (Sweden),,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4.0,92.0,Toronto,Adam Brooks,C,Regina Pats [WHL],43.0,6.0,5.0,11.0,2.0,2021-22
4.0,93.0,Anaheim,Jack Kopacka,L,Soo Greyhounds [OHL],,,,,,
4.0,94.0,Florida,Jonathan Ang,C,Peterborough Petes [OHL],,,,,,
4.0,95.0,NY Islanders,Anatoly Golyshev,L,Yekaterinburg Automobilist [KHL],,,,,,
4.0,96.0,Calgary,Linus Lindstrom,C,Skeleftea Jrs (Sweden),,,,,,
4.0,97.0,Winnipeg,Jacob Cederholm,D,HV71 Jrs (Sweden),,,,,,
4.0,98.0,NY Rangers,Tarmo Reunanen,D,TPS Jrs (Finland),4.0,0.0,1.0,1.0,0.0,2020-21
4.0,99.0,Buffalo,Brett Murray,L,Carleton Place Canadians [CCHL],21.0,2.0,4.0,6.0,23.0,2021-22
4.0,100.0,Montreal,Victor Mete,D,London Knights [OHL],247.0,5.0,40.0,45.0,46.0,2022-23
4.0,101.0,Toronto,Keaton Middleton,D,Saginaw Spirit [OHL],3.0,0.0,0.0,0.0,4.0,2020-21
4.0,102.0,New Jersey,Mikhail Maltsev,L,Russia U-18 Team,56.0,6.0,3.0,9.0,6.0,2022-23
4.0,103.0,Ottawa,Todd Burgess,R,Fairbanks Ice Dogs [NAHL],,,,,,
4.0,104.0,Carolina,Max Zimmer,L,Chicago Steel [USHL],,,,,,
4.0,105.0,New Jersey,Evan Cormier,G,Saginaw Spirit [OHL],,,,,,
4.0,106.0,Minnesota,Brandon Duhaime,R,Tri-City Storm [USHL],132.0,15.0,12.0,27.0,164.0,2023-24
4.0,107.0,Detroit,Alfons Malmstrom,D,Orebro Jrs (Sweden),,,,,,
4.0,108.0,Nashville,Hardy Haman-Aktell,D,Skelleftea Jrs (Sweden),,,,,,
4.0,109.0,Philadelphia,Connor Bunnaman,C,Kitchener Rangers [OHL],54.0,1.0,2.0,3.0,8.0,2021-22
